Diagnóstico principal (CIE10MC),Total Nacional,Comunidades y Ciudades Autónomas,Total
0102 Gastroenteritis y colitis infecciosas A09,TOTAL NACIONAL,"Asturias, principado de",1120
0102 Gastroenteritis y colitis infecciosas A09,TOTAL NACIONAL,"Balears, illes",1216
0102 Gastroenteritis y colitis infecciosas A09,TOTAL NACIONAL,Canarias,2512
0102 Gastroenteritis y colitis infecciosas A09,TOTAL NACIONAL,Cantabria,256
0102 Gastroenteritis y colitis infecciosas A09,TOTAL NACIONAL,Castilla y león,2136
0102 Gastroenteritis y colitis infecciosas A09,TOTAL NACIONAL,Castilla - la mancha,1118
0102 Gastroenteritis y colitis infecciosas A09,TOTAL NACIONAL,Cataluña,9770
0102 Gastroenteritis y colitis infecciosas A09,TOTAL NACIONAL,Comunitat valenciana,3729
0102 Gastroenteritis y colitis infecciosas A09,TOTAL NACIONAL,Extremadura,1058
0102 Gastroenteritis y colitis infecciosas A09,TOTAL NACIONAL,Galicia,2013
0102 Gastroenteritis y colitis infecciosas A09,TOTAL NACIONAL,"Madrid, comunidad de",5011
0102 Gastroenteritis y colitis infecciosas A09,TOTAL NACIONAL,"Murcia, región de",688
0102 Gastroenteritis y colitis infecciosas A09,TOTAL NACIONAL,"Navarra, comunidad foral de",312
0102 Gastroenteritis y colitis infecciosas A09,TOTAL NACIONAL,País vasco,1653
0102 Gastroenteritis y colitis infecciosas A09,TOTAL NACIONAL,"Rioja, la",128
0102 Gastroenteritis y colitis infecciosas A09,TOTAL NACIONAL,Ceuta,12
0102 Gastroenteritis y colitis infecciosas A09,TOTAL NACIONAL,Melilla,19
"0103 Tuberculosis A15-A19, B90",TOTAL NACIONAL,Andalucía,6537
"0103 Tuberculosis A15-A19, B90",TOTAL NACIONAL,Aragón,2175
"0103 Tuberculosis A15-A19, B90",TOTAL NACIONAL,"Asturias, principado de",1028
"0103 Tuberculosis A15-A19, B90",TOTAL NACIONAL,"Balears, illes",1032
"0103 Tuberculosis A15-A19, B90",TOTAL NACIONAL,Canarias,1689
"0103 Tuberculosis A15-A19, B90",TOTAL NACIONAL,Cantabria,877
"0103 Tuberculosis A15-A19, B90",TOTAL NACIONAL,Castilla y león,2854
"0103 Tuberculosis A15-A19, B90",TOTAL NACIONAL,Castilla - la mancha,1794
"0103 Tuberculosis A15-A19, B90",TOTAL NACIONAL,Cataluña,25913
"0103 Tuberculosis A15-A19, B90",TOTAL NACIONAL,Comunitat valenciana,4862
"0103 Tuberculosis A15-A19, B90",TOTAL NACIONAL,Extremadura,827
"0103 Tuberculosis A15-A19, B90",TOTAL NACIONAL,Galicia,3980
"0103 Tuberculosis A15-A19, B90",TOTAL NACIONAL,"Madrid, comunidad de",9611
"0103 Tuberculosis A15-A19, B90",TOTAL NACIONAL,"Murcia, región de",2453
"0103 Tuberculosis A15-A19, B90",TOTAL NACIONAL,"Navarra, comunidad foral de",154
"0103 Tuberculosis A15-A19, B90",TOTAL NACIONAL,País vasco,2246
"0103 Tuberculosis A15-A19, B90",TOTAL NACIONAL,"Rioja, la",363
"0103 Tuberculosis A15-A19, B90",TOTAL NACIONAL,Ceuta,111
"0103 Tuberculosis A15-A19, B90",TOTAL NACIONAL,Melilla,108
0104 Septicemia A40-A41,TOTAL NACIONAL,Andalucía,107043
0104 Septicemia A40-A41,TOTAL NACIONAL,Aragón,19519
0104 Septicemia A40-A41,TOTAL NACIONAL,"Asturias, principado de",12445
0104 Septicemia A40-A41,TOTAL NACIONAL,"Balears, illes",13713
0104 Septicemia A40-A41,TOTAL NACIONAL,Canarias,49649
0104 Septicemia A40-A41,TOTAL NACIONAL,Cantabria,9300
0104 Septicemia A40-A41,TOTAL NACIONAL,Castilla y león,47705
0104 Septicemia A40-A41,TOTAL NACIONAL,Castilla - la mancha,31888
0104 Septicemia A40-A41,TOTAL NACIONAL,Cataluña,85773
0104 Septicemia A40-A41,TOTAL NACIONAL,Comunitat valenciana,55410
0104 Septicemia A40-A41,TOTAL NACIONAL,Extremadura,10125
0104 Septicemia A40-A41,TOTAL NACIONAL,Galicia,29461
0104 Septicemia A40-A41,TOTAL NACIONAL,"Madrid, comunidad de",116165
0104 Septicemia A40-A41,TOTAL NACIONAL,"Murcia, región de",21749
0104 Septicemia A40-A41,TOTAL NACIONAL,"Navarra, comunidad foral de",8064
0104 Septicemia A40-A41,TOTAL NACIONAL,País vasco,32598
0104 Septicemia A40-A41,TOTAL NACIONAL,"Rioja, la",7029
0104 Septicemia A40-A41,TOTAL NACIONAL,Ceuta,651
0104 Septicemia A40-A41,TOTAL NACIONAL,Melilla,958
0105 Infección del virus de la inmunodeficiencia humana B20,TOTAL NACIONAL,Andalucía,5819
0105 Infección del virus de la inmunodeficiencia humana B20,TOTAL NACIONAL,Aragón,1543
0105 Infección del virus de la inmunodeficiencia humana B20,TOTAL NACIONAL,"Asturias, principado de",2229
0105 Infección del virus de la inmunodeficiencia humana B20,TOTAL NACIONAL,"Balears, illes",1139
0105 Infección del virus de la inmunodeficiencia humana B20,TOTAL NACIONAL,Canarias,3398
0105 Infección del virus de la inmunodeficiencia humana B20,TOTAL NACIONAL,Cantabria,302
0105 Infección del virus de la inmunodeficiencia humana B20,TOTAL NACIONAL,Castilla y león,935
0105 Infección del virus de la inmunodeficiencia humana B20,TOTAL NACIONAL,Castilla - la mancha,941
0105 Infección del virus de la inmunodeficiencia humana B20,TOTAL NACIONAL,Cataluña,9829
0105 Infección del virus de la inmunodeficiencia humana B20,TOTAL NACIONAL,Comunitat valenciana,4586
0105 Infección del virus de la inmunodeficiencia humana B20,TOTAL NACIONAL,Extremadura,374
0105 Infección del virus de la inmunodeficiencia humana B20,TOTAL NACIONAL,Galicia,2600
0105 Infección del virus de la inmunodeficiencia humana B20,TOTAL NACIONAL,"Madrid, comunidad de",6218
0105 Infección del virus de la inmunodeficiencia humana B20,TOTAL NACIONAL,"Murcia, región de",1085
0105 Infección del virus de la inmunodeficiencia humana B20,TOTAL NACIONAL,"Navarra, comunidad foral de",399
0105 Infección del virus de la inmunodeficiencia humana B20,TOTAL NACIONAL,País vasco,997
0105 Infección del virus de la inmunodeficiencia humana B20,TOTAL NACIONAL,"Rioja, la",148
0105 Infección del virus de la inmunodeficiencia humana B20,TOTAL NACIONAL,Ceuta,9
0105 Infección del virus de la inmunodeficiencia humana B20,TOTAL NACIONAL,Melilla,224
0106 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),TOTAL NACIONAL,Andalucía,34774
0106 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),TOTAL NACIONAL,Aragón,8950
0106 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),TOTAL NACIONAL,"Asturias, principado de",5811
0106 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),TOTAL NACIONAL,"Balears, illes",6808
0106 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),TOTAL NACIONAL,Canarias,12111
0106 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),TOTAL NACIONAL,Cantabria,2734
0106 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),TOTAL NACIONAL,Castilla y león,12568
0106 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),TOTAL NACIONAL,Castilla - la mancha,8704
0106 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),TOTAL NACIONAL,Cataluña,54444
0106 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),TOTAL NACIONAL,Comunitat valenciana,26654
0106 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),TOTAL NACIONAL,Extremadura,6422
0106 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),TOTAL NACIONAL,Galicia,16328
0106 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),TOTAL NACIONAL,"Madrid, comunidad de",34200
0106 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),TOTAL NACIONAL,"Murcia, región de",10994
0106 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),TOTAL NACIONAL,"Navarra, comunidad foral de",2815
0106 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),TOTAL NACIONAL,País vasco,10581
0106 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),TOTAL NACIONAL,"Rioja, la",1992
0106 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),TOTAL NACIONAL,Ceuta,229
0106 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),TOTAL NACIONAL,Melilla,308
0200 NEOPLASIAS C00-D49,TOTAL NACIONAL,Andalucía,547785
0200 NEOPLASIAS C00-D49,TOTAL NACIONAL,Aragón,122046
0200 NEOPLASIAS C00-D49,TOTAL NACIONAL,"Asturias, principado de",94844
0200 NEOPLASIAS C00-D49,TOTAL NACIONAL,"Balears, illes",88812
0200 NEOPLASIAS C00-D49,TOTAL NACIONAL,Canarias,150280
0200 NEOPLASIAS C00-D49,TOTAL NACIONAL,Cantabria,42281
0200 NEOPLASIAS C00-D49,TOTAL NACIONAL,Castilla y león,222153
0200 NEOPLASIAS C00-D49,TOTAL NACIONAL,Castilla - la mancha,144622
0200 NEOPLASIAS C00-D49,TOTAL NACIONAL,Cataluña,763123
0200 NEOPLASIAS C00-D49,TOTAL NACIONAL,Comunitat valenciana,349268
0200 NEOPLASIAS C00-D49,TOTAL NACIONAL,Extremadura,86531
0200 NEOPLASIAS C00-D49,TOTAL NACIONAL,Galicia,267445
0200 NEOPLASIAS C00-D49,TOTAL NACIONAL,"Madrid, comunidad de",535129
0200 NEOPLASIAS C00-D49,TOTAL NACIONAL,"Murcia, región de",109199
0200 NEOPLASIAS C00-D49,TOTAL NACIONAL,"Navarra, comunidad foral de",51354
0200 NEOPLASIAS C00-D49,TOTAL NACIONAL,País vasco,178152
0200 NEOPLASIAS C00-D49,TOTAL NACIONAL,"Rioja, la",29877
0200 NEOPLASIAS C00-D49,TOTAL NACIONAL,Ceuta,4974
0200 NEOPLASIAS C00-D49,TOTAL NACIONAL,Melilla,4366
"0201 Neoplasias malignas de colon, recto y ano C18-C21",TOTAL NACIONAL,Andalucía,86012
"0201 Neoplasias malignas de colon, recto y ano C18-C21",TOTAL NACIONAL,Aragón,16319
"0201 Neoplasias malignas de colon, recto y ano C18-C21",TOTAL NACIONAL,"Asturias, principado de",16137
"0201 Neoplasias malignas de colon, recto y ano C18-C21",TOTAL NACIONAL,"Balears, illes",13685
"0201 Neoplasias malignas de colon, recto y ano C18-C21",TOTAL NACIONAL,Canarias,15526
"0201 Neoplasias malignas de colon, recto y ano C18-C21",TOTAL NACIONAL,Cantabria,5345
"0201 Neoplasias malignas de colon, recto y ano C18-C21",TOTAL NACIONAL,Castilla y león,35406
"0201 Neoplasias malignas de colon, recto y ano C18-C21",TOTAL NACIONAL,Castilla - la mancha,22273
"0201 Neoplasias malignas de colon, recto y ano C18-C21",TOTAL NACIONAL,Cataluña,100135
"0201 Neoplasias malignas de colon, recto y ano C18-C21",TOTAL NACIONAL,Comunitat valenciana,50023
"0201 Neoplasias malignas de colon, recto y ano C18-C21",TOTAL NACIONAL,Extremadura,12526
"0201 Neoplasias malignas de colon, recto y ano C18-C21",TOTAL NACIONAL,Galicia,41702
"0201 Neoplasias malignas de colon, recto y ano C18-C21",TOTAL NACIONAL,"Madrid, comunidad de",70365
"0201 Neoplasias malignas de colon, recto y ano C18-C21",TOTAL NACIONAL,"Murcia, región de",13109
"0201 Neoplasias malignas de colon, recto y ano C18-C21",TOTAL NACIONAL,"Navarra, comunidad foral de",5989
"0201 Neoplasias malignas de colon, recto y ano C18-C21",TOTAL NACIONAL,País vasco,21655
"0201 Neoplasias malignas de colon, recto y ano C18-C21",TOTAL NACIONAL,"Rioja, la",3957
"0201 Neoplasias malignas de colon, recto y ano C18-C21",TOTAL NACIONAL,Ceuta,508
"0201 Neoplasias malignas de colon, recto y ano C18-C21",TOTAL NACIONAL,Melilla,679
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",TOTAL NACIONAL,Andalucía,47433
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",TOTAL NACIONAL,Aragón,12232
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",TOTAL NACIONAL,"Asturias, principado de",9001
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",TOTAL NACIONAL,"Balears, illes",9197
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",TOTAL NACIONAL,Canarias,14768
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",TOTAL NACIONAL,Cantabria,3568
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",TOTAL NACIONAL,Castilla y león,19517
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",TOTAL NACIONAL,Castilla - la mancha,12618
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",TOTAL NACIONAL,Cataluña,81045
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",TOTAL NACIONAL,Comunitat valenciana,36948
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",TOTAL NACIONAL,Extremadura,7772
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",TOTAL NACIONAL,Galicia,18665
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",TOTAL NACIONAL,"Madrid, comunidad de",46910
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",TOTAL NACIONAL,"Murcia, región de",9748
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",TOTAL NACIONAL,"Navarra, comunidad foral de",5335
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",TOTAL NACIONAL,País vasco,16451
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",TOTAL NACIONAL,"Rioja, la",2639
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",TOTAL NACIONAL,Ceuta,461
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",TOTAL NACIONAL,Melilla,292
0203 Melanoma y otras neoplasias malignas de la piel C43-C44,TOTAL NACIONAL,Andalucía,6008
0203 Melanoma y otras neoplasias malignas de la piel C43-C44,TOTAL NACIONAL,Aragón,1538
0203 Melanoma y otras neoplasias malignas de la piel C43-C44,TOTAL NACIONAL,"Asturias, principado de",943
0203 Melanoma y otras neoplasias malignas de la piel C43-C44,TOTAL NACIONAL,"Balears, illes",1001
0203 Melanoma y otras neoplasias malignas de la piel C43-C44,TOTAL NACIONAL,Canarias,1529
0203 Melanoma y otras neoplasias malignas de la piel C43-C44,TOTAL NACIONAL,Cantabria,499
0203 Melanoma y otras neoplasias malignas de la piel C43-C44,TOTAL NACIONAL,Castilla y león,2421
0203 Melanoma y otras neoplasias malignas de la piel C43-C44,TOTAL NACIONAL,Castilla - la mancha,988
0203 Melanoma y otras neoplasias malignas de la piel C43-C44,TOTAL NACIONAL,Cataluña,10457
0203 Melanoma y otras neoplasias malignas de la piel C43-C44,TOTAL NACIONAL,Comunitat valenciana,1955
0203 Melanoma y otras neoplasias malignas de la piel C43-C44,TOTAL NACIONAL,Extremadura,646
0203 Melanoma y otras neoplasias malignas de la piel C43-C44,TOTAL NACIONAL,Galicia,2010
0203 Melanoma y otras neoplasias malignas de la piel C43-C44,TOTAL NACIONAL,"Madrid, comunidad de",3648
0203 Melanoma y otras neoplasias malignas de la piel C43-C44,TOTAL NACIONAL,"Murcia, región de",800
0203 Melanoma y otras neoplasias malignas de la piel C43-C44,TOTAL NACIONAL,"Navarra, comunidad foral de",445
0203 Melanoma y otras neoplasias malignas de la piel C43-C44,TOTAL NACIONAL,País vasco,1964
0203 Melanoma y otras neoplasias malignas de la piel C43-C44,TOTAL NACIONAL,"Rioja, la",357
0203 Melanoma y otras neoplasias malignas de la piel C43-C44,TOTAL NACIONAL,Ceuta,27
0203 Melanoma y otras neoplasias malignas de la piel C43-C44,TOTAL NACIONAL,Melilla,64
0204 Neoplasia maligna de la mama C50,TOTAL NACIONAL,Andalucía,18659
0204 Neoplasia maligna de la mama C50,TOTAL NACIONAL,Aragón,3995
0204 Neoplasia maligna de la mama C50,TOTAL NACIONAL,"Asturias, principado de",3777
0204 Neoplasia maligna de la mama C50,TOTAL NACIONAL,"Balears, illes",3339
0204 Neoplasia maligna de la mama C50,TOTAL NACIONAL,Canarias,4406
0204 Neoplasia maligna de la mama C50,TOTAL NACIONAL,Cantabria,1267
0204 Neoplasia maligna de la mama C50,TOTAL NACIONAL,Castilla y león,8207
0204 Neoplasia maligna de la mama C50,TOTAL NACIONAL,Castilla - la mancha,4716
0204 Neoplasia maligna de la mama C50,TOTAL NACIONAL,Cataluña,31769
0204 Neoplasia maligna de la mama C50,TOTAL NACIONAL,Comunitat valenciana,10654
0204 Neoplasia maligna de la mama C50,TOTAL NACIONAL,Extremadura,2653
0204 Neoplasia maligna de la mama C50,TOTAL NACIONAL,Galicia,7654
0204 Neoplasia maligna de la mama C50,TOTAL NACIONAL,"Madrid, comunidad de",16660
0204 Neoplasia maligna de la mama C50,TOTAL NACIONAL,"Murcia, región de",4083
0204 Neoplasia maligna de la mama C50,TOTAL NACIONAL,"Navarra, comunidad foral de",2574
0204 Neoplasia maligna de la mama C50,TOTAL NACIONAL,País vasco,4848
0204 Neoplasia maligna de la mama C50,TOTAL NACIONAL,"Rioja, la",1257
0204 Neoplasia maligna de la mama C50,TOTAL NACIONAL,Ceuta,166
0204 Neoplasia maligna de la mama C50,TOTAL NACIONAL,Melilla,212
0205 Neoplasia maligna del útero C53-C55,TOTAL NACIONAL,Andalucía,9401
0205 Neoplasia maligna del útero C53-C55,TOTAL NACIONAL,Aragón,1809
0205 Neoplasia maligna del útero C53-C55,TOTAL NACIONAL,"Asturias, principado de",1434
0205 Neoplasia maligna del útero C53-C55,TOTAL NACIONAL,"Balears, illes",1480
0205 Neoplasia maligna del útero C53-C55,TOTAL NACIONAL,Canarias,2417
0205 Neoplasia maligna del útero C53-C55,TOTAL NACIONAL,Cantabria,701
0205 Neoplasia maligna del útero C53-C55,TOTAL NACIONAL,Castilla y león,2893
0205 Neoplasia maligna del útero C53-C55,TOTAL NACIONAL,Castilla - la mancha,2461
0205 Neoplasia maligna del útero C53-C55,TOTAL NACIONAL,Cataluña,12877
0205 Neoplasia maligna del útero C53-C55,TOTAL NACIONAL,Comunitat valenciana,6475
0205 Neoplasia maligna del útero C53-C55,TOTAL NACIONAL,Extremadura,1353
0205 Neoplasia maligna del útero C53-C55,TOTAL NACIONAL,Galicia,4133
0205 Neoplasia maligna del útero C53-C55,TOTAL NACIONAL,"Madrid, comunidad de",7607
0205 Neoplasia maligna del útero C53-C55,TOTAL NACIONAL,"Murcia, región de",1987
0205 Neoplasia maligna del útero C53-C55,TOTAL NACIONAL,"Navarra, comunidad foral de",630
0205 Neoplasia maligna del útero C53-C55,TOTAL NACIONAL,País vasco,2387
0205 Neoplasia maligna del útero C53-C55,TOTAL NACIONAL,"Rioja, la",408
0205 Neoplasia maligna del útero C53-C55,TOTAL NACIONAL,Ceuta,153
0205 Neoplasia maligna del útero C53-C55,TOTAL NACIONAL,Melilla,58
0206 Neoplasia maligna del ovario C56,TOTAL NACIONAL,Andalucía,7129
0206 Neoplasia maligna del ovario C56,TOTAL NACIONAL,Aragón,1229
0206 Neoplasia maligna del ovario C56,TOTAL NACIONAL,"Asturias, principado de",1003
0206 Neoplasia maligna del ovario C56,TOTAL NACIONAL,"Balears, illes",778
0206 Neoplasia maligna del ovario C56,TOTAL NACIONAL,Canarias,1621
0206 Neoplasia maligna del ovario C56,TOTAL NACIONAL,Cantabria,591
0206 Neoplasia maligna del ovario C56,TOTAL NACIONAL,Castilla y león,3321
0206 Neoplasia maligna del ovario C56,TOTAL NACIONAL,Castilla - la mancha,1817
0206 Neoplasia maligna del ovario C56,TOTAL NACIONAL,Cataluña,8914
0206 Neoplasia maligna del ovario C56,TOTAL NACIONAL,Comunitat valenciana,3970
0206 Neoplasia maligna del ovario C56,TOTAL NACIONAL,Extremadura,935
0206 Neoplasia maligna del ovario C56,TOTAL NACIONAL,Galicia,2512
0206 Neoplasia maligna del ovario C56,TOTAL NACIONAL,"Madrid, comunidad de",7057
0206 Neoplasia maligna del ovario C56,TOTAL NACIONAL,"Murcia, región de",1176
0206 Neoplasia maligna del ovario C56,TOTAL NACIONAL,"Navarra, comunidad foral de",804
0206 Neoplasia maligna del ovario C56,TOTAL NACIONAL,País vasco,2494
0206 Neoplasia maligna del ovario C56,TOTAL NACIONAL,"Rioja, la",325
0206 Neoplasia maligna del ovario C56,TOTAL NACIONAL,Ceuta,117
